30,הר שוקף ובקעת אלון – מסלול בכרמל התיכון,1,1,8.0,חיפה והכרמל,nan,True,True,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False

31,הר שלמה ונחל מפלים,0,2,11.0,דרום הנגב והרי אילת,nan,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False

32,הר תבור,1,0,3.0,גליל תחתון עמקים וגלבוע,נצרת עפולה ועמק יזרעאל,True,True,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False

33,הרי גופנא - מחרשה למעיין האוכף,1,0,3.0,שומרון,nan,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False

34,זוויתן תחתון ובריכת המשושים,0,2,6.0,גליל עליון אצבע הגליל והגולן,רמת הגולן,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False

35,חוף דור-הבונים,1,0,3.0,חיפה והכרמל,חוף הכרמל זכרון יעקב ורמות מנשה,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False

36,חורשת הארבעים ומצוק הארבעים בכרמל,0,1,1.5,חיפה והכרמל,nan,True,True,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False

37,חלמוניות ירוחם,1,1,5.0,מרכז הנגב והמכתשים,nan,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True,False,False,False

38,חרבת מדרס וחרבת עתרי,1,0,7.0,השפלה,ראשון לציון רחובות ונס ציונה,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False

39,טוסקנה הדרוזית: טיול בין כפרי צפון הגולן,1,2,15.0,גליל עליון אצבע הגליל והגולן,רמת הגולן,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False

40,טיול בשפלה: מסלול לחנוכה בעקבות המכבים,0,0,3.0,השפלה,ראשון לציון רחובות ונס ציונה,True,True,True,True,True,False,True,True,True,False,False,False,False,False,True,False,False,False

41,יאנוח: נגיעות קטנות של יופי,1,0,1.0,גליל מערבי,צפת ורכס הרי מירון,True,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False

42,יד קנדי חרבת סעדים ושביל המעיינות,1,0,3.0,הרי ירושלים ואזור בית שמש,nan,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False

43,ים אל ים – טיול מחוף אכזיב לחופי הכנרת,2,2,70.0,גליל מערבי,צפת ורכס הרי מירון,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False

44,יער אודם,1,0,2.0,גליל עליון אצבע הגליל והגולן,רמת הגולן,True,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False

45,יער ברעם ובית הכנסת העתיק,1,0,4.0,גליל מערבי,מעלות וסביבותיה,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False

46,יער עופר - מסלול משפחות מעגלי,0,0,4.5,חיפה והכרמל,חיפה והר הכרמל,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False

47,יער קולה ובריכת צרטה,1,0,4.0,מישור החוף וגוש דן,חולון פתח תקווה וגוש דן,True,True,True,True,True,False,True,True,True,False,False,False,False,True,True,False,False,False

48,מאשדוד לניצנים: טבע ומורשת קרב,0,0,5.0,צפון הנגב,אשדוד ומישור החוף הדרומי,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False

49,מבית ג'אן לחורפיש - מערות ופריחות בפסגות הגליל,0,2,8.0,גליל מערבי,צפת ורכס הרי מירון,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False

50,מבית שאן לכוכב הירדן,0,2,17.0,גליל תחתון עמקים וגלבוע,הגלבוע ועמק המעיינות,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False

51,מבצר יחיעם ונחל געתון,0,1,3.0,גליל מערבי,עכו נהריה וראש הנקרה,False,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False

52,מג'רסה - בקעת בית צידה,1,1,1.0,גליל תחתון עמקים וגלבוע,טבריה כנרת והעמקים,True,True,True,True,True,False,True,True,False,False,False,True,False,False,False,True,False,False

