0,2,5.0
0,8,5.0
0,12,3.0
0,13,5.0
0,17,3.0
0,19,3.0
0,20,3.0
0,21,5.0
0,22,3.0
0,23,5.0
0,24,5.0
0,25,3.0
0,32,3.0
0,35,3.0
0,36,3.0
0,49,3.0
0,53,3.0
0,110,3.0
0,114,5.0
0,173,5.0
0,174,3.0
0,177,5.0
0,178,5.0
0,199,5.0
1,0,1.0
1,2,5.0
1,4,3.0
1,7,5.0
1,8,5.0
1,9,3.0
1,11,5.0
1,12,5.0
1,13,5.0
1,14,5.0
1,17,3.0
1,19,5.0
1,20,5.0
1,22,5.0
1,23,5.0
1,28,5.0
1,29,3.0
1,30,3.0
1,33,5.0
1,34,3.0
1,35,5.0
1,36,5.0
1,40,3.0
1,45,3.0
1,50,5.0
1,51,5.0
1,52,5.0
1,53,3.0
1,54,3.0
1,63,5.0
1,64,5.0
1,70,5.0
1,71,5.0
1,74,5.0
1,75,5.0
1,83,3.0
1,98,5.0
1,100,5.0
1,110,5.0
1,116,5.0
1,129,5.0
1,131,3.0
1,137,5.0
1,207,5.0
1,208,3.0
1,211,5.0
2,0,2.0
2,2,5.0
2,8,5.0
2,13,5.0
2,17,5.0
2,18,5.0
2,19,3.0
2,20,3.0
2,21,5.0
2,23,5.0
2,30,5.0
2,32,5.0
2,33,3.0
2,36,5.0
2,38,5.0
2,44,5.0
2,133,3.0
2,134,3.0
2,135,3.0
2,136,5.0
2,137,5.0
2,139,5.0
2,141,3.0
2,143,3.0
2,144,3.0
2,213,3.0
3,0,3.0
3,19,5.0
3,20,3.0
3,22,5.0
3,23,5.0
3,53,3.0
3,71,5.0
3,72,2.0
3,91,5.0
3,131,2.0
3,132,3.0
3,133,3.0
3,140,5.0
3,141,2.0
3,142,2.0
3,143,2.0
3,144,3.0
3,152,3.0
3,217,3.0
4,0,4.0
4,2,5.0
4,4,3.0
4,5,3.0
4,8,3.0
4,13,5.0
4,23,5.0
4,25,3.0
4,29,5.0
4,35,5.0
4,39,5.0
4,43,5.0
4,44,5.0
4,45,3.0
4,53,3.0
4,54,2.0
4,55,3.0
4,56,5.0
4,57,3.0
4,58,5.0
4,69,3.0
4,70,3.0
4,71,3.0
4,72,2.0
4,79,3.0
4,80,2.0
4,81,5.0
4,82,3.0
4,88,5.0
4,90,3.0
4,91,2.0
4,92,5.0
4,93,2.0
4,97,3.0
4,100,3.0
4,110,3.0
4,114,5.0
4,120,3.0
4,127,5.0
4,131,3.0
4,134,5.0
4,137,5.0
4,139,3.0
4,140,3.0
4,141,2.0
4,144,3.0
4,146,2.0
4,147,2.0
4,148,2.0
4,149,3.0
4,150,2.0
4,151,2.0
4,152,3.0
4,153,2.0
4,154,2.0
4,155,2.0
4,156,2.0
4,157,3.0
4,159,2.0
4,160,2.0
4,161,2.0
4,162,2.0
4,163,2.0
4,164,2.0
4,165,3.0
4,166,2.0
4,172,3.0
4,173,5.0
4,174,2.0
4,175,3.0
4,176,2.0
4,177,3.0
4,178,5.0
4,179,3.0
4,180,3.0
4,183,5.0
4,184,2.0
4,185,3.0
4,186,3.0
4,187,2.0
4,188,3.0
4,189,3.0
4,196,2.0
4,208,3.0
5,0,5.0
5,1,3.0
5,2,5.0
5,3,3.0
5,4,5.0
